time_msc;open;sma;current_delta;forecast_delta
2024-05-27 12:50:50;124825;124819,6429;-0,357142857;-2,142857143
2024-05-27 12:50:55;124805;124817,5;-2,142857143;-1,785714286
2024-05-27 12:51:00;124805;124815,7143;-1,785714286;-0,714285714
2024-05-27 12:51:05;124810;124815;-0,714285714;-0,714285714
2024-05-27 12:51:10;124820;124814,2857;-0,714285714;-1,071428571
2024-05-27 12:51:15;124815;124813,2143;-1,071428571;-1,428571429
2024-05-27 12:51:20;124805;124811,7857;-1,428571429;-0,714285714
2024-05-27 12:51:25;124815;124811,0714;-0,714285714;0,357142857
2024-05-27 12:51:30;124815;124811,4286;0,357142857;0
2024-05-27 12:51:35;124810;124811,4286;0;0
2024-05-27 12:51:40;124810;124811,4286;0;0,357142857
2024-05-27 12:51:45;124810;124811,7857;0,357142857;0,714285714
2024-05-27 12:51:50;124815;124812,5;0,714285714;-0,357142857
2024-05-27 12:51:55;124810;124812,1429;-0,357142857;-1,785714286
2024-05-27 12:52:00;124800;124810,3571;-1,785714286;0
2024-05-27 12:52:05;124805;124810,3571;0;-0,714285714
